,co_ope,dt_base,vlr_base,dt_nasc,sexo,renda,renda_liq,dt_relac,co_cart,co_prof,cep
0,60,44613,1164.12,27553.0,0,1252.0,700.0,38872.0,0,151,3213
1,56,44613,1558.54,28634.0,0,2000.0,2000.0,37444.0,0,315,5040
2,60,44613,1816.37,28634.0,0,2000.0,2000.0,37444.0,0,315,5040
3,17,44857,1936.85,28634.0,0,2000.0,2000.0,37444.0,0,315,5040
4,16,44857,1061.43,33171.0,0,0.0,0.0,40989.0,0,204,24986
5,16,44857,4764.18,28305.0,0,0.0,0.0,40646.0,0,110,3464
6,17,44857,1864.07,28654.0,0,0.0,0.0,41030.0,0,91,5312
7,21,44857,10144.65,28654.0,0,0.0,0.0,41030.0,0,91,5312
8,60,44613,3845.04,28654.0,0,0.0,0.0,41030.0,0,91,5312
9,58,44613,12475.81,28654.0,0,0.0,0.0,41030.0,0,91,5312
10,21,44857,1481.09,33620.0,0,2756.56,1921.42,39848.0,0,241,25295
11,21,44857,1209.21,33620.0,0,2756.56,1921.42,39848.0,0,241,25295
12,17,44843,2179.16,33620.0,0,2756.56,1921.42,39848.0,0,241,25295
13,56,44613,1973.96,33620.0,0,2756.56,1921.42,39848.0,0,241,25295
14,21,44857,2598.83,31923.0,0,1314.42,648.24,40981.0,0,195,7797
15,21,44857,1167.8,31923.0,0,1314.42,648.24,40981.0,0,195,7797
16,56,44613,598.68,31541.0,0,0.0,0.0,42882.0,0,149,14213
17,16,44857,7325.56,23193.0,0,0.0,0.0,37096.0,0,131,170
18,16,44853,598.29,31789.0,0,0.0,0.0,39635.0,0,411,8284
19,58,44856,1515.73,31867.0,0,0.0,0.0,39606.0,0,126,13651
20,60,44613,1715.01,31816.0,0,0.0,0.0,38501.0,0,367,8355
21,60,44613,35.99,30780.0,0,3750.0,3500.0,39253.0,0,264,14293
22,17,44857,3461.1,26500.0,0,1820.0,1820.0,36836.0,0,304,5615
23,58,44613,898.12,27917.0,0,0.0,0.0,36607.0,0,315,3961
24,16,44829,664.62,31512.0,0,1896.03,1102.05,39965.0,0,318,13001
25,14,44857,12286.68,31461.0,0,0.0,0.0,41687.0,0,151,8486
26,20,44843,1068.58,33330.0,0,2190.0,2190.0,39302.0,0,304,22280
27,58,44716,4402.85,10587.0,0,7849.0,6231.0,35415.0,0,277,3970
28,16,44857,9439.9,28881.0,0,0.0,0.0,41370.0,0,267,5551
29,58,44613,1135.5,28881.0,0,0.0,0.0,41370.0,0,267,5551
30,21,44857,619.04,22628.0,0,0.0,0.0,37893.0,0,233,1450
31,17,44843,440.77,22628.0,0,0.0,0.0,37893.0,0,233,1450
32,6,44809,5053.96,33143.0,0,3657.56,1778.02,39875.0,0,132,24246
33,6,44809,1760.61,33143.0,0,3657.56,1778.02,39875.0,0,132,24246
34,17,44843,2525.47,33143.0,0,3657.56,1778.02,39875.0,0,132,24246
35,17,44857,907.58,32829.0,0,0.0,0.0,41575.0,0,185,22508
36,58,44613,2328.22,23637.0,0,0.0,0.0,42134.0,0,429,1180
37,21,44857,1367.52,28518.0,0,0.0,0.0,42589.0,0,315,5703
38,16,44857,687.23,28518.0,0,0.0,0.0,42589.0,0,315,5703
39,60,44613,738.55,11560.0,0,0.0,0.0,36113.0,0,277,23604
40,17,44857,1913.85,11560.0,0,0.0,0.0,36113.0,0,277,23604
41,16,44857,3472.27,30628.0,0,1700.0,1700.0,40737.0,0,247,8066
42,17,44843,8317.37,28425.0,0,0.0,0.0,41392.0,0,331,3469
43,58,44613,2324.21,30894.0,0,1516.33,1395.03,38382.0,0,199,8898
44,6,44857,9411.95,30871.0,0,0.0,0.0,38763.0,0,240,8092
45,6,44857,5619.84,30871.0,0,0.0,0.0,38763.0,0,240,8092
46,6,44857,7684.1,30871.0,0,0.0,0.0,38763.0,0,240,8092
47,6,44650,47487.58,20728.0,0,4598.16,4598.16,33314.0,0,130,16253
48,21,44857,1123.63,33462.0,0,0.0,0.0,39616.0,0,195,22306
49,58,44894,763.76,36785.0,0,0.0,0.0,43170.0,0,429,15800
50,17,44843,390.31,35251.0,0,2118.34,2118.34,41510.0,0,241,25161
51,7,44857,254.51,31994.0,0,0.0,0.0,40397.0,0,304,14256
52,10,44857,15259.02,22719.0,0,2800.0,2800.0,40041.0,0,380,3139
53,16,44857,6962.84,33053.0,0,0.0,0.0,39300.0,0,282,22874
54,58,44613,175.68,33272.0,0,0.0,0.0,40294.0,0,163,23862
55,16,44857,1576.76,31425.0,0,0.0,0.0,38012.0,0,163,6243
56,56,44613,901.33,31580.0,0,1813.56,943.5,42779.0,0,199,12115
57,56,44613,1332.89,34990.0,0,1150.0,1150.0,41927.0,0,163,10536
58,3,44857,6375.21,35303.0,0,0.0,0.0,42280.0,0,240,22683
59,17,44857,708.02,35303.0,0,0.0,0.0,42280.0,0,240,22683
60,17,44857,856.38,31964.0,0,0.0,0.0,37797.0,0,243,7982
61,56,44613,1626.86,29965.0,0,1808.7,1486.55,40363.0,0,236,7785
62,56,44634,2039.69,32810.0,0,1500.0,1500.0,40012.0,0,163,12198
63,16,44857,5068.93,31406.0,0,0.0,0.0,39098.0,0,304,6295
64,16,44857,5832.4,31360.0,0,3405.5,3316.52,39853.0,0,163,8500
65,8,44857,353.87,28587.0,0,650.0,650.0,37055.0,0,198,5353
66,16,44857,4957.5,27928.0,0,1363.0,1363.0,41506.0,0,264,4184
67,60,44613,588.55,27928.0,0,1363.0,1363.0,41506.0,0,264,4184
68,60,44613,1990.58,16823.0,0,5000.0,5000.0,37886.0,0,277,6105
69,16,44857,4438.81,30451.0,0,0.0,0.0,41322.0,0,304,7305
70,58,44613,1207.93,31612.0,0,0.0,0.0,42212.0,0,367,12859
71,58,44613,116.35,31237.0,0,0.0,0.0,39656.0,0,221,7910
72,6,44857,4731.69,32906.0,0,0.0,0.0,41462.0,0,315,13813
73,17,44843,1672.87,24101.0,0,0.0,0.0,39854.0,0,281,1219
74,56,44613,10443.95,24101.0,0,0.0,0.0,39854.0,0,281,1219
75,16,44857,1994.06,24101.0,0,0.0,0.0,39854.0,0,281,1219
76,6,44857,2602.09,24101.0,0,0.0,0.0,39854.0,0,281,1219
77,16,44857,445.14,32424.0,0,1576.0,1576.0,38762.0,0,74,13412
78,6,44857,3928.04,28811.0,0,1074.27,580.0,40355.0,0,76,23725
79,17,44857,270.28,32610.0,0,2000.0,2000.0,43136.0,0,73,13296
80,17,44843,1529.53,32949.0,0,1400.0,1400.0,42953.0,0,217,24128
81,60,44894,588.22,29712.0,0,0.0,0.0,39678.0,0,315,454
82,8,44857,1580.23,30921.0,0,0.0,0.0,42057.0,0,315,5963
83,8,44857,2730.06,30921.0,0,0.0,0.0,42057.0,0,315,5963
84,56,44894,2838.68,30997.0,0,5000.0,5000.0,43136.0,0,132,6557
85,14,44857,14676.09,23969.0,0,0.0,0.0,38060.0,0,238,26951
86,56,44613,791.08,28387.0,0,0.0,0.0,36358.0,0,315,3214
87,14,44857,6311.1,33269.0,0,0.0,0.0,40971.0,0,163,22575
